state,gdp
Alabama,224.87
Alaska,50.25
Arizona,372.46
Arkansas,129.07
California,3091.87
Colorado,390.1
Connecticut,280.9
Delaware,75.51
District of Columbia,132.53
Florida,1095.89
Georgia,619.24
Hawaii,89.86
Idaho,84.03
Illinois,863.52
Indiana,372.64
Iowa,192.71
Kansas,173.3
Kentucky,210.02
Louisiana,241.99
Maine,66.2
Maryland,422.73
Massachusetts,584.04
Michigan,515.93
Minnesota,374.35
Mississippi,114.2
Missouri,321.71
Montana,51.49
Nebraska,128.81
Nevada,172.6
New Hampshire,85.11
New Jersey,619.06
New Mexico,100.31
New York,1699.04
North Carolina,586.14
North Dakota,54.03
Ohio,675.04
Oklahoma,186.58
Oregon,250.46
Pennsylvania,780.18
Rhode Island,60.22
South Carolina,241.69
South Dakota,54.85
Tennessee,364.49
Texas,1759.73
Utah,194.99
Vermont,32.8
Virginia,551.76
Washington,618.7
West Virginia,73.71
Wisconsin,338.68
Wyoming,36.24
